feature	val_acc	test_acc	rank
wavelet-HHL_glszm_LargeAreaLowGrayLevelEmphasis	0.20365853658536584	0.2	276
wavelet-HHL_glszm_LowGrayLevelZoneEmphasis	0.20365853658536584	0.3	446
wavelet-HHL_glszm_SizeZoneNonUniformity	0.3170731707317073	0.3	739
wavelet-HHL_glszm_SizeZoneNonUniformityNormalized	0.2804878048780488	0.25	629
wavelet-HHL_glszm_SmallAreaEmphasis	0.2804878048780488	0.25	583
wavelet-HHL_glszm_SmallAreaHighGrayLevelEmphasis	0.25	0.15	679
wavelet-HHL_glszm_SmallAreaLowGrayLevelEmphasis	0.18170731707317073	0.25	453
wavelet-HHL_glszm_ZoneEntropy	0.19390243902439025	0.15	661
wavelet-HHL_glszm_ZonePercentage	0.3207317073170732	0.25	536
wavelet-HHL_glszm_ZoneVariance	0.35609756097560974	0.3	185
wavelet-HHL_ngtdm_Busyness	0.1878048780487805	0.4	461
wavelet-HHL_ngtdm_Coarseness	0.28292682926829266	0.2	553
wavelet-HHL_ngtdm_Complexity	0.24634146341463414	0.35	775
wavelet-HHL_ngtdm_Contrast	0.2597560975609756	0.1	760
wavelet-HHL_ngtdm_Strength	0.23536585365853657	0.2	431
wavelet-HLH_firstorder_10Percentile	0.2634146341463415	0.2	751
wavelet-HLH_firstorder_90Percentile	0.25121951219512195	0.35	324
wavelet-HLH_firstorder_Energy	0.35	0.35	1
wavelet-HLH_firstorder_Entropy	0.25609756097560976	0.2	293
wavelet-HLH_firstorder_InterquartileRange	0.33170731707317075	0.2	608
wavelet-HLH_firstorder_Kurtosis	0.2329268292682927	0.2	414
wavelet-HLH_firstorder_Maximum	0.22439024390243903	0.05	566
wavelet-HLH_firstorder_Mean	0.3621951219512195	0.35	165
wavelet-HLH_firstorder_MeanAbsoluteDeviation	0.2597560975609756	0.3	405
wavelet-HLH_firstorder_Median	0.2914634146341463	0.2	334
wavelet-HLH_firstorder_Minimum	0.2475609756097561	0.3	491
wavelet-HLH_firstorder_Range	0.17317073170731706	0.3	499
wavelet-HLH_firstorder_RobustMeanAbsoluteDeviation	0.37682926829268293	0.25	506
wavelet-HLH_firstorder_Skewness	0.22439024390243903	0.2	450
wavelet-HLH_firstorder_TotalEnergy	0.35	0.35	1
wavelet-HLH_firstorder_Uniformity	0.28292682926829266	0.25	291
wavelet-HLH_firstorder_Variance	0.3121951219512195	0.3	444
wavelet-HLH_glcm_Autocorrelation	0.24634146341463414	0.3	365
wavelet-HLH_glcm_ClusterProminence	0.2890243902439024	0.2	549
wavelet-HLH_glcm_ClusterShade	0.2951219512195122	0.15	416
wavelet-HLH_glcm_ClusterTendency	0.28536585365853656	0.3	465
wavelet-HLH_glcm_Contrast	0.33902439024390246	0.1	509
wavelet-HLH_glcm_Correlation	0.3280487804878049	0.1	580
wavelet-HLH_glcm_DifferenceAverage	0.33902439024390246	0.1	509
wavelet-HLH_glcm_DifferenceEntropy	0.3463414634146341	0.3	480
wavelet-HLH_glcm_DifferenceVariance	0.28292682926829266	0.4	475
wavelet-HLH_glcm_Id	0.33902439024390246	0.1	510
wavelet-HLH_glcm_Idm	0.33902439024390246	0.1	510
wavelet-HLH_glcm_Idmn	0.33902439024390246	0.1	508
wavelet-HLH_glcm_Idn	0.33902439024390246	0.1	507
wavelet-HLH_glcm_Imc1	0.3097560975609756	0.25	663
wavelet-HLH_glcm_Imc2	0.3378048780487805	0.25	687
wavelet-HLH_glcm_InverseVariance	0.33902439024390246	0.1	509
wavelet-HLH_glcm_JointAverage	0.24390243902439024	0.3	358
wavelet-HLH_glcm_JointEnergy	0.23170731707317074	0.4	290
wavelet-HLH_glcm_JointEntropy	0.2634146341463415	0.4	306
wavelet-HLH_glcm_MaximumProbability	0.35121951219512193	0.35	317
wavelet-HLH_glcm_SumEntropy	0.2926829268292683	0.5	432
wavelet-HLH_glcm_SumSquares	0.2731707317073171	0.25	287
